beatmap_id	score_count
1546425	7191
3965630	7182
845391	7170
2164274	7167
130754	7166
1700275	7161
2022204	7157
2742960	7156
747855	7154
3870286	7150
2039845	7147
2598547	7146
1468467	7133
1003944	7128
118068	7119
1451992	7118
4792591	7114
4819984	7113
1188172	7112
1596706	7102
1577478	7099
824970	7096
837569	7096
1123155	7087
846105	7086
338682	7077
2663986	7076
2349469	7076
1064909	7075
2064453	7070
1172819	7062
2245775	7062
2126752	7062
4419204	7062
1849120	7051
4921686	7049
205282	7048
2461089	7046
487384	7044
969651	7041
2059455	7039
1477910	7037
2850905	7035
2477065	7033
235880	7031
1153238	7028
1114132	7024
4800049	7007
2161926	6991
4839949	6987
3042164	6984
3963421	6984
1350927	6983
397534	6978
2609485	6966
130500	6966
1473301	6963
380646	6963
2889019	6961
811127	6952
1474944	6943
4853247	6940
98452	6939
646530	6937
1645698	6936
1769144	6935
771496	6931
1419403	6930
2732387	6928
2657557	6926
3522976	6923
1102144	6917
490154	6915
4853246	6907
476149	6906
1969122	6906
949888	6905
927754	6904
1142884	6883
2223057	6879
4419203	6879
351189	6873
240488	6871
4633101	6869
1481624	6861
2628691	6860
786980	6858
942356	6857
2287891	6851
1322507	6848
718679	6846
199049	6845
2632230	6841
1149925	6835
82962	6833
760488	6833
2044366	6829
1180209	6827
589969	6827
2298847	6822
323875	6819
1537566	6812
3385966	6807
4881967	6805
4857995	6804
1512177	6804
4919688	6798
1031991	6794
2887834	6790
1269453	6784
815071	6780
674349	6772
1185036	6764
712376	6760
4722416	6758
26726	6758
683970	6751
260489	6750
431147	6747
4921970	6746
1630299	6744
968220	6743
4708805	6742
1187302	6738
611753	6738
991014	6737
1909553	6728
1051486	6727
977770	6722
1252022	6718
3071981	6715
1643106	6691
1510355	6689
1180926	6688
902888	6688
1021579	6687
164183	6677
1496486	6670
1071242	6669
1451282	6667
933105	6665
2993974	6656
1977528	6655
2670759	6652
1289927	6650
795232	6648
1219094	6648
822651	6645
1509693	6643
1827412	6643
828242	6640
4844447	6636
1150597	6634
4726119	6633
3320563	6628
4864071	6626
1961270	6620
4652841	6609
1889804	6606
362949	6604
2569254	6602
2082006	6602
965549	6598
785097	6595
1962945	6594
3572698	6593
2360155	6586
4761696	6580
1383388	6575
1373482	6572
1355247	6569
1270000	6560
759192	6555
2097124	6554
966177	6541
690778	6531
722235	6529
3036835	6527
1544643	6526
2322515	6522
1770626	6519
1020320	6519
1902624	6517
891867	6512
2628161	6512
2465106	6511
2643264	6505
529285	6505
2077120	6505
239265	6502
351190	6501
1657917	6485
1744385	6481
1174467	6477
1952177	6475
3104522	6470
4614397	6465
4705585	6463
2620911	6449
2026805	6447
1627149	6445
1371599	6444
1008998	6440
2796473	6439
3410654	6434
908042	6431
715074	6427
1490581	6426
2112908	6420
